E	V
1	-5.917763977619504
2	-6.888574130757636
3	-6.555724700156745
4	-6.01400928594991
5	-6.495715528828378
6	-7.539750414534318
7	-6.151314581453997
8	-7.698304393979554
9	-6.724402581225649
10	-6.310391149721114
11	-8.652347571279163
12	-8.540285753168988
13	-8.479557608721258
14	-8.643541688665964
15	-8.637865195465983
16	-8.769490860751285
17	-8.803467318412006
18	-8.801510510208061
19	-8.692442386099943
20	-8.748739060732635
21	-8.636985418726535
22	-8.704554884989669
23	-8.62235022763911
24	-8.703174829081176
25	-8.462383206219002
26	-8.500924729043614
27	-8.495840542120769
28	-8.417021435021637
29	-8.60033903175531
30	-8.50641493304775
31	-8.739387946229499
32	-8.699189485105583
33	-8.606540337397073
34	-8.435448287235634
35	-8.386112750291106
36	-8.758114883803339
37	-8.572582010626538
38	-8.706873725976294
39	-8.700483965412307
40	-8.804604143304308
41	-8.472688938177074
42	-8.72266963623234
43	-8.494854093886612
44	-8.520923404875603
45	-8.576516331761393
46	-8.629885501187013
47	-8.51909119787458
48	-8.59991150788976
49	-8.615802625212664
50	-8.653731594283622
51	-8.52416697508023
52	-8.616784043380077
53	-8.64987903815797
54	-8.54674374053292
55	-8.560275264114832
56	-8.452995480698613
57	-8.63643424758495
58	-8.72
59	-8.71953281227307
60	-8.434971042794796
61	-8.41236857596075
62	-8.636985418726534
63	-8.813942380724898
64	-8.698206502834221
65	-8.374082633570113
66	-8.515462344816124
67	-8.392330316937796
68	-8.633576804002889
69	-8.538104996137774
70	-8.502847756751613
71	-8.585703677559355
72	-8.562896027676157
73	-8.494854093886612
74	-8.781966011250105
75	-8.755418438812669
76	-8.594930831930522
77	-8.51531942820898
78	-8.362144911001431
79	-8.449876039407533
80	-8.596790313432082
81	-8.349049959742352
82	-8.661373473740252
83	-8.472078101061026
84	-8.472078101061026
85	-8.57405292098569
86	-8.684837673744507
87	-8.470196865652003
88	-8.729530008928037
89	-8.4
90	-8.537708830027452
91	-8.623765672114589
92	-8.660240023044425
93	-8.602860389614582
94	-8.627568986648635
95	-8.427590266147911
96	-8.582127766689403
97	-8.464831851243948
98	-8.672617822474544
99	-8.523673920031799
100	-8.598001597445109
101	-8.593801092994623
102	-8.490039683164586
103	-8.64807528873502
104	-8.410215537265653
105	-8.711618931833472
106	-8.715047529376061
107	-8.582127766689403
108	-8.618616121200205
109	-8.433460151483043
110	-8.529530008928036
111	-8.733819101751578
112	-8.489369914709023
113	-8.530674783862404
114	-8.737371451433145
115	-8.698001597445108
116	-8.511033499223407
117	-8.614079290569173
118	-8.75757566863232
119	-8.273350083857839
120	-8.509364577864952
121	-8.51075560105502
122	-8.403898931935204
123	-8.572078101061026
124	-8.567525281186128
125	-8.489181323375611
126	-8.582350227639111
127	-8.518413696967187
128	-8.624972119248081
129	-8.458347531752484
130	-8.562848827568502
131	-8.538308792378162
132	-8.446879058448404
133	-8.463618948229533
134	-8.408075288735024
135	-8.402906632464632
136	-8.881089696751985
137	-8.56690478527034
138	-8.422995287070357
139	-8.710231506294058
140	-8.429440415348875
141	-8.750580507584399
142	-8.646319299810967
143	-8.53957990608357
144	-8.65762129295524
145	-8.489369914709021
146	-8.5464396214326
147	-8.539606360217432
148	-8.538640739036145
149	-8.68509574858204
150	-8.588589511885775
151	-8.257043496365496
152	-8.524293459577793
153	-8.652347571279163
154	-8.32452438308156
155	-8.531208942308961
156	-8.438644845950211
157	-8.859800019996001
158	-8.937666096777686
159	-8.64233560627361
160	-8.618955630860784
161	-8.723929136329557
162	-8.922967038573098
163	-8.591695402640543
164	-8.523033789347654
165	-8.498001597445109
166	-8.262545117637197
167	-8.614739849628153
168	-8.518413696967187
169	-8.608846722243412
170	-8.663651088995728
171	-8.55544768577404
172	-8.425334053275948
173	-8.590946349359058
174	-8.680608856828973
175	-8.65071450021452
176	-8.647240182715544
177	-8.587544179605752
178	-8.529342294989421
179	-8.554639971037389
180	-8.511941279554444
181	-8.396775746382437
182	-8.583447493940357
183	-8.744818856431397
184	-8.645370016552578
185	-8.669490860751285
186	-8.69018249390658
187	-8.764090168099532
188	-8.657225785308867
189	-8.447003591385833
190	-8.604081787494978
191	-8.694419973177686
192	-8.520608856828973
193	-8.512565791296208
194	-8.442758902181595
195	-8.567355878729954
196	-8.523453416415922
197	-8.4620017421616
198	-8.621240305106099
199	-8.520526419969167
200	-8.735203369071282
201	-8.495840542120769
202	-8.72416697508023
203	-8.196456675463214
204	-8.738595856041428
205	-8.742074009691983
206	-8.686015075472056
207	-8.389181323375611
208	-8.722574584994234
209	-8.713324630142807
210	-8.612995480698615
211	-8.486570331576305
212	-8.43096935645424
213	-8.716233108242223
214	-8.546879058448404
215	-8.663068312314703
216	-8.403840668058608
217	-8.535544576250352
218	-8.814805719038906
219	-8.786752691752842
220	-8.431667919800205
221	-8.477738262008838
222	-8.806293928202066
223	-8.684479702330474
224	-8.703039839564545
225	-8.664554024437427
226	-8.7704369859013
227	-8.813981132228127
228	-8.52769131513689
229	-8.45257054400743
230	-8.52831866676992
231	-8.598001597445109
232	-8.767574230646172
233	-8.247934742926335
234	-8.73405292098569
235	-8.561563454840249
236	-8.512565791296208
237	-8.388902928279007
238	-8.82448577245453
239	-8.671941279554444
240	-8.717565515426529
241	-8.841402788699128
242	-8.675304923404038
243	-8.522896027676158
244	-8.552502747256064
245	-8.455239485575992
246	-8.461128298141615
247	-8.723178612530802
248	-8.839572727590474
249	-8.408305596088963
250	-8.419606360217431
251	-8.667934742926336
252	-8.611179901966345
253	-8.744818856431397
254	-8.628633541878045
255	-8.50842454147278
256	-8.472078101061026
257	-8.461240305106097
258	-8.542421719647601
259	-8.592261152893483
260	-8.659824574900862
261	-8.529530008928036
262	-8.492544364078567
263	-8.698206502834223
264	-8.579123144243868
265	-8.657750028096201
266	-8.675879348517723
267	-8.629864873089767
268	-8.53020162929612
269	-8.49782813781971
270	-8.514079290569173
271	-8.56690478527034
272	-8.639532812273071
273	-8.455219685465147
274	-8.646879058448404
275	-8.62128275446967
276	-8.595957167147716
277	-8.417021435021637
278	-8.58056012549623
279	-8.3746033790805
280	-8.412582010626537
281	-8.539818196841996
282	-8.665591956721139
283	-8.551000400320321
284	-8.857680972272144
285	-8.584244923464075
286	-8.506287939910303
287	-8.74674374053292
288	-8.626777447656186
289	-8.530368908234953
290	-8.606540337397073
291	-8.642416309720979
292	-8.797828137819709
293	-8.385480482691616
294	-8.633855103899235
295	-8.543745229017562
296	-8.550528568855706
297	-8.359921262283319
298	-8.45623531673773
299	-8.847720967954885
300	-8.436085941106384
301	-8.543170855969827
