E	A
1	33.73
2	97.31
3	97.34
4	97.3
5	97.39
6	97.36
7	97.37
8	97.33
9	97.3
10	97.3
11	97.34
12	97.4
13	97.3
14	97.31
15	97.41
16	97.31
17	97.39
18	97.37
19	97.33
20	97.32
21	97.35
22	97.35
23	97.31
24	97.35
25	97.34
26	97.34
27	97.36
28	97.35
29	97.32
30	97.3
31	97.37
32	97.39
33	97.34
34	97.39
35	97.36
36	97.34
37	97.37
38	97.36
39	97.34
40	97.32
41	97.33
42	97.35
43	97.33
44	97.37
45	97.32
46	97.29
47	97.39
48	97.37
49	97.44
50	97.45
51	97.38
52	97.34
53	97.34
54	97.34
55	97.37
56	97.41
57	97.34
58	97.36
59	97.42
60	97.37
61	97.35
62	97.4
63	97.34
64	97.31
65	97.42
66	97.4
67	97.33
68	97.32
69	97.31
70	97.45
71	97.34
72	97.32
73	97.28
74	97.31
75	97.33
76	97.37
77	97.28
78	97.32
79	97.36
80	97.31
81	97.35
82	97.37
83	97.29
84	97.33
85	97.32
86	97.44
87	97.41
88	97.33
89	97.38
90	97.36
91	97.37
92	97.43
93	97.4
94	97.35
95	97.47
96	97.31
97	97.4
98	97.4
99	97.35
100	97.36
101	97.29
102	97.42
103	97.4
104	97.33
105	97.42
106	97.4
107	97.34
108	97.46
109	97.32
110	97.41
111	97.29
112	97.34
113	97.35
114	97.45
115	97.36
116	97.35
117	97.42
118	97.36
119	97.35
120	97.37
121	97.42
122	97.36
123	97.33
124	97.34
125	97.42
126	97.31
127	97.35
128	97.38
129	97.38
130	97.34
131	97.33
132	97.4
133	97.33
134	97.36
135	97.36
136	97.32
137	97.44
138	97.33
139	97.33
140	97.37
141	97.35
142	97.34
143	97.31
144	97.36
145	97.32
146	97.33
147	97.38
148	97.37
149	97.38
150	97.39
151	97.4
152	97.35
153	97.36
154	97.35
155	97.36
156	97.33
157	97.37
158	97.42
159	97.32
160	97.44
161	97.34
162	97.34
163	97.34
164	97.38
165	97.34
166	97.34
167	97.36
168	97.35
169	97.35
170	97.34
171	97.34
172	97.34
173	97.36
174	97.38
175	97.32
176	97.35
177	97.38
178	97.43
179	97.36
180	97.39
181	97.43
182	97.34
183	97.36
184	97.38
185	97.31
186	97.33
187	97.37
188	97.45
189	97.33
190	97.37
191	97.36
192	97.48
193	97.32
194	97.47
195	97.33
196	97.33
197	97.34
198	97.34
199	97.32
200	97.39
