E	V
1	-7.212388422807195
2	-8.139209447668136
3	-8.017717058837652
4	-7.633568086760153
5	-7.8749821003151315
6	-8.074840431551321
7	-7.9005213914334185
8	-7.893192350928609
9	-7.8171147123190385
10	-7.807791267522134
11	-8.020724764561272
12	-8.14490601725132
13	-7.80428982200286
14	-7.96121732324759
15	-8.234300605633205
16	-8.20082491765184
17	-8.125915113620731
18	-7.500476239567994
19	-7.805445098486299
20	-7.8401333372841835
21	-7.757221395279073
22	-8.016544845348987
23	-8.011884546864392
24	-7.8597737672355805
25	-7.9005213914334185
26	-7.7526610811389
27	-7.793390536387147
28	-7.849474948785108
29	-7.968148086960248
30	-7.833100344473474
31	-7.986843173988742
32	-8.135030712762475
33	-8.03909888669639
34	-7.963643611960396
35	-7.880877361790288
36	-8.087877555046392
37	-8.21670326610517
38	-7.6534486245520945
39	-7.896270486007976
40	-7.947141479985737
41	-7.867588221016927
42	-8.187366240563737
43	-7.615647084620808
44	-7.790927796562547
45	-7.718533811046678
46	-7.8353321935553755
47	-7.9068287800538695
48	-8.024507183579104
49	-8.021584278266431
50	-7.7682725769563055
51	-7.618898945445185
52	-8.061964351295893
53	-8.106905865520224
54	-8.0825758998168
55	-7.97295016591484
56	-7.910538535902798
57	-7.990024875775822
58	-7.963819949762363
59	-7.955679879154081
60	-7.840717826620827
61	-7.960180187492687
62	-7.840893035158882
63	-8.131725744548563
64	-7.824373574795265
65	-7.6871171604196675
66	-7.8909495573120445
67	-8.074584410102968
68	-7.640607362123228
69	-8.025817581966653
70	-7.668005258551194
71	-7.856768766385738
72	-7.916253133706924
73	-7.64098062785073
74	-7.738908557040989
75	-8.059209447668138
76	-8.044722240461079
77	-7.667534683951826
78	-7.7112982309369285
79	-8.062294785789408
80	-7.950285105544994
81	-7.87338897389638
82	-7.974959954600374
83	-7.859060017856073
84	-7.824249542124591
85	-8.020325606051001
86	-7.865370190669962
87	-7.7931995762712285
88	-8.06386393721181
89	-8.020495110181706
90	-8.121539030917347
91	-7.855180532295823
92	-7.809189966702302
93	-7.69893641089825
94	-8.162490090622466
95	-7.878465663764576
96	-8.151888128683805
97	-7.941402328627472
98	-7.827781523746936
99	-8.06144280809981
100	-8.059257762208938
101	-7.81481765488229
102	-7.993600245348614
103	-7.589012809778264
104	-7.865473323838632
105	-8.03977974636821
106	-7.490278986659561
107	-7.749491207714511
108	-7.809232585290642
109	-7.937138367607918
110	-8.075718961044524
111	-7.872118884207486
112	-7.660438638685063
113	-7.939909092787301
114	-7.996516544601264
115	-7.903244412377093
116	-7.995243482015081
117	-7.995243482015081
118	-7.855363993434658
119	-7.8260269268164
120	-7.985841231478052
121	-7.741613503085761
122	-7.987168575467828
123	-7.8984960756169365
124	-8.106779282492706
125	-7.698889163101914
126	-7.84293775927283
127	-7.829647916423204
128	-7.896129500173178
129	-7.875976513223041
130	-7.997963922595185
131	-7.818672955983589
132	-7.782130680509127
133	-7.968188489425886
134	-7.722207716904679
135	-7.867851722872086
136	-7.928507636764934
137	-7.626719730471343
138	-8.055459750975052
139	-7.765026427208964
140	-7.784021467008236
141	-8.006676190495629
142	-8.102720599461158
143	-8.007234336951651
144	-8.044775873616699
145	-7.991000244021487
146	-8.024982517553761
147	-8.009545503963313
148	-7.899955157401538
149	-7.876911259163626
150	-8.048041404526177
151	-8.148077870405686
152	-7.693487481065841
153	-8.067695463807539
154	-7.9025335663000424
155	-7.986125612409561
156	-7.727434504858332
157	-8.175154326868341
158	-8.166661482639759
159	-7.828326517978143
160	-7.854595067812111
161	-8.111976562634108
162	-7.781598757083154
163	-7.666879854870226
164	-8.191525581849996
165	-7.668937735084739
166	-7.879760779240807
167	-7.93673146806099
168	-8.009545503963313
169	-8.105384195651606
170	-8.0505953224783
171	-7.907068518770967
172	-7.965407309749683
173	-8.0825758998168
174	-8.125562718480763
175	-8.210120195780535
176	-7.863627326965266
177	-8.053139116521825
178	-8.024982517553761
179	-7.749418176404891
180	-7.869933036715196
181	-7.962244167356805
182	-7.936023255944971
183	-8.03038464885854
184	-7.64943044818339
185	-7.864302831302538
186	-7.9333282286940925
187	-7.961964351295894
188	-7.907015245301021
189	-7.799953917539999
190	-7.877645676186804
191	-8.045837458749919
192	-8.03464924789021
193	-7.799623460623828
194	-8.121765469824437
195	-7.7440868129249765
196	-7.7878121628183266
197	-7.811824748864467
198	-7.809845820213966
199	-8.086069910052537
200	-7.829326185657775
201	-7.912409588558949
202	-7.849843054850174
203	-7.663335710890415
204	-7.920747794204713
205	-7.933970135089574
206	-7.667534683951826
207	-7.984464773286502
208	-7.893192350928608
209	-7.756191592817325
210	-8.073728475382168
211	-8.049297003698907
212	-7.911393137176072
213	-7.798983269860208
214	-8.025702358046477
215	-7.919607020618514
216	-7.931568741124709
217	-8.076892262686892
218	-7.772225500582214
219	-7.9795413326549856
220	-7.766215221763268
221	-8.1327684427094
222	-7.995886500215802
223	-8.094530130520633
224	-8.106905865520224
225	-7.974388449879703
226	-8.17784799787396
227	-7.954696488326564
228	-7.815611975411167
229	-7.799310447302354
230	-7.807237411513257
231	-8.142633237784985
232	-7.675618245564022
233	-7.726008204208593
234	-7.909660659536639
235	-7.720550528229664
236	-8.026185849198605
237	-7.956941162369299
238	-7.991000244021487
239	-8.062845121253664
240	-8.03735046976987
241	-8.176013120940056
242	-7.96127309563011
243	-7.845837458749918
244	-7.893956336024518
245	-8.024982517553761
246	-7.844382305207127
247	-7.717346690277099
248	-7.863493444375852
249	-7.850367994679672
250	-7.9476709105560275
251	-7.987376001225928
252	-7.890953699893833
253	-7.706812789775518
254	-7.948125878083239
255	-7.958476742931452
256	-7.867594809565659
257	-8.228243338084427
258	-7.75260558105263
259	-7.7878121628183266
260	-7.596253133706924
261	-7.972313954710662
262	-7.77836264675122
263	-7.946706468016351
264	-7.99265423590804
265	-8.066281695385662
266	-7.892454678843041
267	-7.887089099390449
268	-7.744126541303317
269	-7.871124143049908
270	-7.849843054850174
271	-7.938162192272925
272	-7.786661884270824
273	-7.9619239667423125
274	-7.937768968192617
275	-7.914347159106171
276	-8.024507183579104
277	-7.732843190249073
278	-8.11235012164459
279	-7.649845820213966
280	-7.931568741124709
281	-7.798889163101915
282	-7.933328228694092
283	-7.778362646751219
284	-7.860711020272472
285	-7.767059484839571
286	-7.883398951148328
287	-7.780438638685064
288	-7.888272576956307
289	-7.740815593388964
290	-8.176570090616512
291	-7.990488427572441
292	-7.887089099390449
293	-7.618257577072857
294	-8.011488345163738
295	-7.878214996927671
296	-7.898889163101915
297	-8.08884269442271
298	-7.904443889721044
299	-7.634712208312427
300	-8.088665561250403
301	-7.842087904205211
302	-7.919395433837266
303	-8.049407971600356
304	-7.818465663764578
305	-8.1168775390007
306	-7.858279757961087
307	-7.897138072917048
308	-7.8403636664211955
309	-7.815549955204246
310	-7.932843190249072
311	-7.9419119234336035
312	-7.95778446025034
313	-8.00050234071831
314	-8.058194550583172
315	-7.817450637563477
316	-7.787673160765349
317	-7.8337026254338795
318	-7.980490254987733
319	-7.922490090622468
320	-8.125074371975101
321	-8.171037114194897
322	-7.820649441942606
323	-7.652552349895917
324	-7.8337703688770475
325	-7.957571471437145
326	-8.12530602624759
327	-7.9422332561234175
328	-8.011488345163738
329	-8.060649441942605
330	-7.92623014162781
331	-8.020100002500124
332	-7.925427443257082
333	-7.690444957200617
334	-7.968015296423035
335	-7.94583745874992
336	-7.620924549325936
337	-7.955495169973913
338	-7.884832619441953
339	-8.055904193906887
340	-7.973260259922919
341	-7.781892698718117
342	-7.818672955983589
343	-7.788531174878781
344	-7.892197663122008
345	-7.799098886696392
346	-7.867588221016927
347	-7.800852180765034
348	-8.032774335767524
349	-8.342961420921908
350	-7.542209815920964
351	-7.731894380569733
352	-7.736892262686892
353	-7.574059330077398
354	-7.936023255944971
355	-8.09995594756401
356	-7.897728445445476
357	-7.794170584182979
358	-8.058756603491263
359	-7.689843054850175
360	-7.974388449879703
361	-8.020325606051001
362	-7.84720436466452
363	-8.093805179583331
364	-7.939230903056586
365	-7.89819455058317
366	-7.851807739584753
367	-7.945399302074238
368	-7.97641089361278
369	-7.833676852008846
370	-8.039230903056586
371	-7.405769764870055
372	-8.025651542206514
373	-8.138687303831118
374	-7.827932789399924
375	-8.068624867028534
376	-7.86436543105469
377	-7.877715528288333
378	-7.959244571260575
379	-7.823099470512712
380	-7.941635258189747
381	-7.822253395899342
382	-7.588431477042734
383	-8.060143545599363
384	-7.79189812564307
385	-7.889245812241201
386	-7.847218944405027
387	-7.818018485990697
388	-7.928636765889014
389	-7.988005499548636
390	-7.890023809658786
391	-8.311148295556807
392	-7.76393202250021
393	-7.7237050483794665
394	-7.895786198134161
395	-7.7526610811389
396	-7.612683949266881
397	-7.840893035158882
398	-7.781892698718117
399	-7.875140453871301
400	-7.912409588558949
401	-8.054198489885621
402	-7.905490817760294
403	-7.940139539411917
404	-7.888665561250402
405	-8.132768442709398
406	-7.948981288571795
407	-8.012798968868001
408	-8.265295201721461
409	-7.842690596493592
410	-7.603778896277401
411	-7.936353861215176
412	-7.725702358046477
413	-7.6987503753754085
414	-7.781037989958291
415	-7.849040384121123
416	-7.898889163101915
417	-7.784641259383788
418	-8.054198489885621
419	-7.950320222301064
420	-7.835337861569739
421	-8.040408205773458
422	-8.196013766024953
423	-8.055904193906889
424	-7.88367281871498
425	-8.035288254844907
426	-7.885267237866052
427	-8.020101012677667
428	-7.816761686729823
429	-7.98103798995829
430	-8.04805017977554
431	-8.203712154951734
432	-7.933390536387147
433	-7.764390191618958
434	-7.825727686986509
435	-7.848015296423034
436	-7.88560162515515
437	-7.836431414019174
438	-7.995243482015081
439	-7.934817654882291
440	-7.696296060166011
441	-7.919395433837266
442	-7.986405637882133
443	-7.5067572480490234
444	-7.9986260397551545
445	-7.899247464061919
446	-7.9871685754678285
447	-7.894584410102968
448	-7.76491458024978
449	-7.803623519373415
450	-7.942771756486859
451	-7.88367281871498
452	-7.73019566049631
453	-8.07320333208796
454	-7.836431414019175
455	-7.857233850799419
456	-8.207141336307986
457	-7.779781669796524
458	-8.003491206633432
459	-7.968264586032786
460	-7.9336860685494095
461	-7.798889163101915
462	-7.831082012199614
463	-7.720660889157374
464	-8.039244571260573
465	-7.974388449879703
466	-7.810117374125982
467	-8.11345881455837
468	-8.092005665729959
469	-8.169205290144552
470	-7.8403636664211955
471	-8.055413529518233
472	-7.854331561081031
473	-8.085672951324318
474	-8.06625941834568
475	-7.947154651853259
476	-8.001101195557718
477	-7.875976513223041
478	-7.91282897268375
479	-8.020325606051
480	-7.817748889076663
481	-7.834269025424096
482	-7.80485230236643
483	-7.807535961172199
484	-7.815166673052852
485	-8.228692745875216
486	-7.890021276692064
487	-7.87821499692767
488	-7.934451023747319
489	-7.973522429006335
490	-7.751719409904112
491	-8.135475442068268
492	-7.854595067812111
493	-7.930615856965469
494	-7.837740240546259
495	-8.052613131351665
496	-7.904358611841432
497	-7.7456102316161175
498	-7.940139539411917
499	-7.963075477698309
500	-7.867851722872086
501	-7.877669800474051
502	-8.314782890108363
503	-7.746114466083071
504	-7.784021467008236
505	-8.085672951324318
506	-8.01776243947192
507	-8.07090706440339
508	-7.919569422343807
509	-7.899955157401537
510	-7.710911295657729
511	-7.852779494575577
512	-7.939230903056586
513	-7.972313954710662
514	-7.797478908986463
515	-7.949462684277611
516	-7.834500054932983
517	-7.880322604625288
518	-7.778688172147582
519	-8.050920608835977
520	-7.83205166113212
521	-7.79059817172474
522	-7.928738896876396
523	-8.136736344584591
524	-8.17571850948411
525	-7.919395433837266
526	-7.8796396688825485
527	-8.146795522393115
528	-7.822253395899342
529	-7.784936490538902
530	-7.841749565241824
531	-7.855253964898006
532	-7.700497793619567
533	-7.890021276692064
534	-7.856761686729822
535	-7.882575899816799
536	-7.804882719445612
537	-7.910115743841814
538	-7.984207173988642
539	-8.158302566339867
540	-8.003079202280453
541	-7.903842581569894
542	-7.8761770901390875
543	-7.669242548427032
544	-7.816728856587272
545	-7.7524801167328405
546	-7.831082012199615
547	-7.742523123076098
548	-7.708264586032786
549	-8.083705048379466
550	-7.996516544601264
551	-7.767315983394136
552	-7.946364557241975
553	-7.906603407202332
554	-8.028814280449035
555	-7.969735593728529
556	-7.71537532121617
557	-7.990497689027102
558	-7.874548241948274
559	-8.016375768395765
560	-8.065908728267434
561	-8.022330006605202
562	-7.846778591550964
563	-7.886210669285438
564	-7.82572768698651
565	-8.005695513503225
566	-7.935368511519442
567	-8.125317770018654
568	-8.170126907641004
569	-7.873610207362487
570	-7.843079202280453
571	-8.000892205641058
572	-7.56547649401425
573	-7.881667310167405
574	-7.948981288571795
575	-8.024507183579104
576	-7.888665561250402
577	-7.872321863888018
578	-8.033602168022817
579	-8.080776845507025
580	-7.841830500155494
581	-8.09467951112194
582	-8.197865183844662
583	-7.850581473979532
584	-7.816535678774261
585	-7.644252808235599
586	-8.056247337189797
587	-7.9043161994444135
588	-8.071087242052
589	-8.044342204278081
590	-8.139900002499875
591	-7.821842850021096
592	-7.995243482015081
593	-7.920971102679712
594	-7.858879580892021
595	-7.768143560483201
596	-7.862467733118102
597	-7.958165909148911
598	-8.07571850948411
599	-8.10575679727412
600	-7.938744114886285
601	-7.956157187151717
602	-7.97641089361278
603	-7.788715338867808
604	-7.779217524406098
605	-7.898837523570105
606	-7.883672818714979
607	-7.903335806133903
608	-7.707791267522133
609	-7.8616970714400605
610	-8.035210716264544
611	-7.863335710890414
612	-8.048390046142169
613	-8.081869975890147
614	-7.855253964898006
