E	A
1	-6.88
2	-7.13
3	-6.99
4	-6.77
5	-6.57
6	-6.94
7	-7.37
8	-7.0
9	-6.62
10	-6.71
11	-6.72
12	-7.44
13	-7.31
14	-6.54
15	-7.11
16	-7.15
17	-7.15
18	-7.21
19	-7.02
20	-7.44
21	-7.08
22	-7.09
23	-6.83
24	-6.97
25	-7.07
26	-6.96
27	-6.64
28	-7.08
29	-7.03
30	-7.25
31	-6.88
32	-7.02
33	-6.37
34	-7.33
35	-6.97
36	-7.22
37	-6.76
38	-7.4
39	-7.1
40	-7.05
41	-7.37
42	-6.67
43	-7.1
44	-6.68
45	-7.05
46	-7.2
47	-6.55
48	-7.27
49	-6.92
50	-7.02
51	-6.9
52	-6.87
53	-7.49
54	-6.68
55	-6.85
56	-7.14
57	-6.93
58	-7.49
59	-6.66
60	-6.72
61	-7.0
62	-6.78
63	-7.11
64	-7.18
65	-6.78
66	-7.03
67	-6.6
68	-7.11
69	-6.6
70	-7.21
71	-6.87
72	-7.17
73	-6.49
74	-6.94
75	-6.93
76	-6.87
77	-6.91
78	-6.77
79	-7.11
80	-7.28
81	-7.0
82	-7.47
83	-7.37
84	-7.16
85	-6.97
86	-7.28
87	-6.88
88	-7.13
89	-7.23
90	-6.91
91	-7.16
92	-6.78
93	-6.77
94	-6.82
95	-7.12
96	-7.04
97	-7.25
98	-6.8
99	-7.28
100	-6.67
101	-6.97
102	-6.69
103	-7.11
104	-6.66
105	-7.12
106	-6.78
107	-6.79
108	-6.62
109	-6.76
110	-6.96
111	-7.39
112	-7.07
113	-7.21
114	-6.84
115	-6.83
116	-7.43
117	-7.14
118	-7.23
119	-6.8
120	-6.95
121	-7.12
122	-6.83
123	-7.16
124	-6.8
125	-7.16
126	-6.74
127	-7.03
128	-7.4
129	-6.97
130	-6.89
131	-6.81
132	-6.73
133	-6.77
134	-6.95
135	-7.13
136	-6.81
137	-7.28
138	-6.99
139	-7.05
140	-7.18
141	-7.08
142	-7.0
143	-7.07
144	-7.3
145	-7.0
146	-7.15
147	-7.09
148	-6.7
149	-7.33
150	-6.92
151	-7.16
152	-7.01
153	-6.54
154	-6.96
155	-7.23
156	-6.64
157	-7.0
158	-6.99
159	-6.48
160	-7.33
161	-7.15
162	-7.18
163	-7.28
164	-7.17
165	-6.87
166	-6.97
167	-6.87
168	-6.86
169	-6.6
170	-6.73
171	-6.84
172	-7.42
173	-6.89
174	-7.21
175	-7.02
176	-6.7
177	-6.67
178	-7.28
179	-6.68
180	-6.85
181	-7.29
182	-7.03
183	-6.8
184	-7.01
185	-6.76
186	-7.38
187	-6.82
188	-7.16
189	-6.9
190	-7.0
191	-6.59
192	-6.78
193	-7.2
194	-7.02
195	-6.87
196	-6.88
197	-7.08
198	-6.93
199	-6.78
200	-6.95
201	-7.2
202	-7.11
203	-6.88
204	-7.17
205	-6.84
206	-6.92
207	-6.86
208	-7.43
209	-6.79
210	-7.03
211	-7.25
212	-6.94
213	-7.43
214	-7.1
215	-6.93
216	-7.3
217	-6.97
218	-7.15
219	-7.37
220	-7.16
221	-7.18
222	-6.95
223	-7.0
224	-6.88
225	-6.88
226	-7.38
227	-6.8
228	-6.9
229	-7.2
230	-6.82
231	-7.07
232	-7.08
233	-6.66
234	-7.22
235	-7.17
236	-6.93
237	-7.2
238	-6.86
239	-7.14
240	-6.99
241	-7.11
242	-6.84
243	-7.1
244	-6.61
245	-7.04
246	-7.33
247	-7.13
248	-6.83
249	-7.29
250	-7.11
251	-7.27
252	-6.83
253	-6.76
254	-7.12
255	-6.84
256	-7.74
257	-7.1
258	-6.94
259	-6.91
260	-7.19
261	-7.29
262	-7.09
263	-7.32
264	-7.14
265	-7.11
266	-6.93
267	-6.7
268	-6.98
269	-7.18
270	-6.94
271	-6.71
272	-7.23
273	-7.13
274	-7.19
275	-6.62
276	-7.13
277	-6.89
278	-7.66
279	-7.24
280	-6.81
281	-6.57
282	-7.29
283	-7.12
284	-6.87
285	-7.05
286	-7.0
287	-6.82
288	-7.06
289	-6.8
290	-7.33
291	-7.07
292	-6.66
293	-6.95
294	-6.82
295	-7.26
296	-7.0
297	-6.51
298	-6.97
299	-6.95
300	-7.22
301	-7.35
302	-6.76
303	-6.99
304	-7.06
305	-6.92
306	-7.33
307	-6.88
308	-6.89
309	-6.87
310	-7.03
311	-7.07
312	-7.32
313	-7.11
314	-6.83
315	-6.48
316	-7.24
317	-7.23
318	-7.47
319	-6.89
320	-7.37
321	-6.79
322	-7.04
323	-6.8
324	-7.03
325	-6.97
326	-7.18
327	-7.08
328	-7.0
329	-7.4
330	-7.02
331	-6.72
332	-6.69
333	-7.42
334	-6.87
335	-6.92
336	-6.79
337	-6.97
338	-6.59
339	-7.14
340	-6.83
341	-7.06
342	-7.3
343	-7.07
344	-7.24
345	-6.75
346	-7.15
347	-7.11
348	-6.84
349	-6.94
350	-7.65
351	-7.83
352	-7.48
353	-7.2
354	-7.03
355	-6.78
356	-7.14
357	-7.41
358	-7.03
359	-6.66
360	-7.35
361	-7.44
362	-6.58
363	-6.98
364	-7.63
365	-7.15
366	-6.58
367	-6.88
368	-7.25
369	-6.82
370	-6.82
371	-6.49
372	-6.97
373	-6.64
374	-7.12
375	-6.9
376	-6.78
377	-6.6
378	-6.75
379	-6.84
380	-6.73
381	-7.31
382	-7.19
383	-6.66
384	-7.06
385	-6.65
386	-7.49
387	-6.97
388	-7.41
389	-6.69
390	-7.21
391	-6.97
392	-6.68
393	-7.3
394	-7.02
395	-7.41
396	-7.24
397	-6.93
398	-6.82
399	-7.0
400	-6.83
401	-6.75
402	-7.07
403	-6.39
404	-6.96
405	-6.79
406	-7.33
407	-6.73
408	-6.71
409	-6.75
410	-6.89
411	-7.5
412	-6.76
413	-6.67
414	-7.05
415	-6.99
416	-7.42
417	-7.05
418	-6.86
419	-6.98
420	-7.12
421	-6.88
422	-7.22
423	-7.17
424	-6.94
425	-7.06
426	-7.09
427	-6.97
428	-6.54
429	-7.11
430	-7.1
431	-7.01
432	-6.85
433	-7.02
434	-6.94
435	-7.15
436	-7.12
437	-6.94
438	-6.93
439	-6.88
440	-7.05
441	-7.16
442	-7.14
443	-7.21
444	-6.8
445	-7.15
446	-6.98
447	-7.05
448	-6.43
449	-6.99
450	-6.9
451	-7.12
452	-6.85
453	-6.4
454	-6.88
455	-6.74
456	-7.17
457	-6.43
458	-6.97
459	-7.1
460	-7.2
461	-6.84
462	-6.48
463	-6.87
464	-6.84
465	-6.87
466	-6.97
467	-6.75
468	-7.15
469	-7.1
470	-7.35
471	-6.62
472	-6.69
473	-6.93
474	-7.56
475	-6.69
476	-7.09
477	-6.63
478	-6.45
479	-6.66
480	-6.7
481	-7.15
482	-6.84
483	-6.83
484	-6.99
485	-6.5
486	-6.93
487	-6.74
488	-6.75
489	-6.8
490	-7.43
491	-6.47
492	-7.01
493	-6.87
494	-6.86
495	-6.91
496	-6.82
497	-7.12
498	-6.57
499	-6.95
500	-6.97
501	-7.15
502	-6.67
503	-7.08
504	-6.86
505	-7.04
506	-7.34
507	-6.69
508	-7.15
509	-6.96
510	-7.22
511	-6.88
512	-7.3
513	-7.04
514	-6.64
515	-6.89
516	-7.15
517	-7.26
518	-7.19
519	-7.58
520	-7.27
521	-7.11
522	-7.22
523	-6.91
524	-6.86
525	-6.93
526	-6.92
527	-6.88
528	-6.86
529	-6.96
530	-7.17
531	-6.88
532	-7.0
533	-7.21
534	-7.02
535	-7.29
536	-6.78
537	-6.73
538	-6.75
539	-6.93
540	-7.2
541	-7.17
542	-7.36
543	-6.86
544	-7.19
545	-7.09
546	-7.12
547	-6.86
548	-7.13
549	-6.97
550	-7.03
551	-6.86
552	-7.06
553	-6.74
554	-6.99
555	-6.81
556	-7.03
557	-7.2
558	-6.77
559	-6.74
560	-7.08
561	-7.14
562	-6.47
563	-7.14
564	-7.39
565	-6.99
566	-6.72
567	-6.98
568	-7.14
569	-6.82
570	-7.02
571	-6.93
572	-7.2
573	-7.09
574	-7.22
575	-6.9
576	-7.13
577	-7.23
578	-6.93
579	-7.25
580	-7.12
581	-6.87
582	-7.02
583	-7.06
584	-6.98
585	-7.05
586	-7.41
587	-7.24
588	-7.15
589	-7.23
590	-7.2
591	-7.17
592	-7.23
593	-6.76
594	-7.14
595	-6.91
596	-7.01
597	-7.12
598	-6.51
599	-6.96
600	-7.16
601	-7.01
602	-6.88
603	-6.67
604	-6.77
605	-6.93
606	-6.94
607	-6.99
608	-6.9
609	-7.0
610	-7.25
611	-7.18
612	-7.61
613	-7.39
614	-7.44
615	-7.08
616	-7.03
617	-7.26
618	-7.03
619	-6.75
620	-7.37
621	-7.38
622	-7.45
623	-6.93
624	-7.41
625	-6.95
626	-6.62
627	-6.81
628	-6.87
629	-6.96
630	-6.6
631	-6.73
632	-7.26
633	-7.17
634	-7.18
635	-6.97
636	-7.16
637	-6.93
638	-6.66
639	-7.06
640	-7.05
641	-6.99
642	-6.68
643	-6.64
644	-6.6
645	-6.85
646	-6.93
647	-7.25
648	-7.03
649	-7.06
650	-7.4
651	-6.89
652	-7.2
653	-6.64
654	-6.85
655	-7.2
656	-6.94
657	-7.0
658	-7.1
659	-7.29
660	-7.08
661	-7.24
662	-6.77
663	-6.73
664	-7.38
665	-7.11
666	-7.42
667	-6.68
668	-7.07
669	-6.85
670	-7.18
671	-7.11
672	-6.76
673	-6.97
674	-6.72
675	-6.59
676	-7.11
677	-6.97
678	-6.79
679	-6.97
680	-7.14
681	-7.06
682	-6.92
683	-6.77
684	-6.73
685	-6.63
686	-6.89
687	-7.14
688	-7.12
689	-6.72
690	-7.02
691	-7.03
692	-6.86
693	-7.3
694	-6.99
695	-6.51
696	-6.73
697	-7.01
698	-7.52
699	-6.66
700	-6.86
701	-7.1
702	-6.99
703	-7.0
704	-6.85
705	-7.04
706	-6.66
707	-7.32
708	-7.04
709	-7.29
710	-7.06
711	-7.05
712	-7.02
713	-7.14
714	-6.97
715	-6.67
716	-6.9
717	-6.85
718	-6.73
719	-6.89
720	-7.02
721	-6.92
722	-6.75
723	-7.25
724	-6.93
725	-7.3
726	-6.78
727	-6.67
728	-7.3
729	-7.27
730	-6.69
731	-7.34
732	-6.57
733	-7.08
734	-6.73
735	-7.11
736	-6.53
737	-6.69
738	-7.05
739	-7.03
740	-6.85
741	-6.96
742	-7.01
743	-6.96
744	-6.91
745	-7.0
746	-6.75
747	-7.29
748	-6.85
749	-6.85
750	-6.9
751	-7.24
752	-7.16
753	-6.72
754	-6.48
755	-6.74
756	-7.16
757	-6.9
758	-7.41
759	-6.67
760	-6.94
761	-7.28
762	-6.75
763	-7.14
764	-6.95
765	-7.33
766	-6.58
767	-6.84
768	-7.16
769	-7.15
770	-6.8
771	-6.82
772	-7.12
773	-6.92
774	-7.13
775	-7.11
776	-6.76
777	-6.81
778	-7.29
779	-6.67
780	-6.78
781	-7.11
782	-7.13
783	-6.62
784	-7.02
785	-7.19
786	-7.02
787	-6.57
788	-7.03
789	-6.93
790	-6.88
791	-6.86
792	-7.27
793	-7.01
794	-6.69
795	-7.58
796	-7.03
797	-6.86
798	-7.0
799	-7.22
800	-6.94
801	-7.17
802	-7.35
803	-6.94
804	-7.01
805	-6.84
806	-6.84
807	-6.78
808	-6.93
809	-7.02
810	-6.75
811	-6.84
812	-6.89
813	-6.77
814	-6.95
815	-7.07
816	-6.8
817	-7.21
818	-7.02
819	-7.14
820	-6.54
821	-6.68
822	-7.32
823	-6.85
824	-7.72
825	-6.92
826	-6.83
827	-6.96
828	-7.14
829	-7.04
830	-7.24
831	-7.04
832	-6.92
833	-7.06
834	-6.98
835	-7.16
836	-6.54
837	-7.08
838	-7.07
839	-6.87
840	-6.91
841	-6.73
842	-6.69
843	-7.2
844	-6.86
845	-7.45
846	-7.1
847	-7.41
848	-6.54
849	-7.39
850	-7.01
851	-6.89
852	-7.04
853	-6.89
854	-6.89
855	-7.1
856	-7.14
857	-6.82
858	-7.12
859	-6.68
860	-6.88
861	-7.54
862	-6.89
863	-7.12
864	-7.04
865	-7.04
866	-6.65
867	-6.89
868	-6.94
869	-7.32
870	-7.09
871	-7.2
872	-6.99
873	-7.34
874	-7.16
875	-6.88
876	-6.78
877	-7.1
878	-6.7
879	-6.85
880	-7.31
881	-7.14
882	-6.8
883	-6.71
884	-6.96
885	-6.94
886	-6.73
887	-6.75
888	-7.56
889	-6.83
890	-7.07
891	-6.65
892	-7.16
893	-6.74
894	-7.01
895	-7.05
896	-7.05
897	-6.99
898	-7.27
899	-7.03
900	-6.85
901	-6.97
902	-6.85
903	-7.06
904	-6.83
905	-7.4
906	-7.17
907	-6.83
908	-7.02
909	-7.02
910	-6.84
911	-6.92
912	-7.4
913	-6.77
914	-7.46
915	-7.09
916	-7.61
917	-6.73
918	-6.58
919	-6.87
920	-6.97
921	-6.73
922	-6.94
923	-6.76
924	-7.02
925	-6.76
926	-6.77
927	-7.15
928	-6.65
929	-7.01
930	-7.1
931	-6.61
932	-6.64
933	-6.81
934	-6.84
935	-7.21
936	-6.78
937	-6.93
938	-7.43
939	-7.37
940	-6.87
941	-7.23
942	-6.85
943	-6.87
944	-6.58
945	-7.05
946	-6.88
947	-7.05
948	-7.24
949	-7.01
950	-7.15
951	-6.73
952	-7.27
953	-6.86
954	-7.12
955	-7.06
956	-6.75
957	-6.95
958	-7.29
959	-7.07
960	-7.13
961	-6.87
962	-6.64
963	-7.26
964	-7.39
