E	A
1	4.31
2	3.67
3	4.02
4	3.34
5	3.66
6	3.56
7	3.46
8	4.14
9	4.05
10	3.79
11	4.94
12	3.96
13	3.98
14	3.63
15	4.29
16	4.04
17	4.61
18	3.57
19	4.39
20	4.28
21	4.23
22	4.12
23	4.0
24	4.17
25	3.95
26	4.06
27	3.65
28	4.35
29	3.99
30	4.08
31	4.16
32	3.73
33	4.61
34	3.77
35	4.07
36	3.67
37	4.52
38	4.3
39	4.4
40	4.0
41	4.31
42	4.35
43	4.12
44	3.84
45	4.49
46	4.04
47	4.34
48	3.54
49	4.43
50	3.92
51	3.75
52	3.83
53	3.87
54	4.13
55	4.05
56	4.39
57	4.14
58	4.12
59	4.53
60	4.4
61	4.61
62	4.49
63	4.55
64	4.06
65	3.82
66	3.82
67	4.12
68	4.71
69	4.25
70	5.42
71	3.55
72	4.41
73	3.94
74	3.87
75	4.21
76	4.41
77	4.47
78	4.47
79	4.39
80	3.84
81	5.25
82	3.78
83	3.62
84	4.16
85	4.42
86	4.2
87	4.56
88	4.37
89	4.81
90	3.85
91	4.52
92	4.21
93	4.28
94	4.75
95	3.77
96	4.29
97	4.27
98	4.2
99	3.81
100	4.61
101	4.46
102	4.38
103	4.74
104	4.0
105	4.29
106	4.26
107	4.29
108	4.61
109	4.48
110	3.97
111	4.39
112	4.37
113	4.73
114	5.19
115	4.65
116	5.4
117	4.57
118	4.28
119	4.98
120	4.63
121	4.54
122	3.66
123	4.4
124	4.22
125	4.62
126	4.29
127	4.93
128	4.94
129	4.88
130	3.98
131	5.08
132	5.59
133	4.99
134	4.41
135	4.71
136	4.63
137	5.14
138	4.69
139	3.65
140	4.48
141	4.5
142	4.7
143	4.38
144	4.26
145	4.56
146	4.75
147	4.86
148	4.36
149	4.45
150	4.41
151	4.21
152	5.13
153	4.9
154	3.91
155	4.5
156	3.79
157	5.1
158	5.34
159	4.64
160	4.47
161	4.67
162	4.76
163	4.7
164	4.55
165	5.22
166	4.9
167	5.24
168	4.92
169	4.39
170	4.29
171	5.31
172	5.83
173	4.54
174	5.33
175	5.28
176	4.66
177	4.66
178	3.73
179	5.5
180	6.03
181	4.63
182	4.78
183	4.67
184	5.05
185	5.2
186	5.62
187	4.66
188	5.0
189	4.59
190	5.48
191	5.7
192	4.26
193	5.45
194	5.12
195	4.53
196	5.14
197	4.92
198	5.06
199	4.55
200	4.84
201	4.73
202	4.12
203	4.53
204	5.22
205	5.06
206	5.17
207	4.95
208	5.2
209	5.04
210	4.0
211	4.78
212	5.54
213	5.29
214	4.94
215	4.75
216	4.87
217	4.72
218	5.06
219	5.23
220	5.04
221	5.93
222	5.07
223	5.06
224	5.07
225	5.34
226	5.15
227	4.41
228	5.6
229	5.51
230	5.68
231	5.19
232	4.6
233	5.04
234	6.09
235	5.32
236	6.14
237	4.89
238	5.23
239	4.92
240	3.97
241	5.22
242	5.61
243	5.83
244	5.41
245	4.57
246	4.54
247	5.44
248	4.68
249	5.4
250	5.21
251	5.04
252	5.95
253	5.6
254	5.72
255	5.04
256	4.49
257	5.71
258	5.3
259	5.9
260	5.59
261	5.12
262	5.27
263	5.74
264	4.92
265	4.93
266	5.47
267	5.02
268	5.78
269	5.84
270	6.11
271	5.29
272	6.14
273	5.06
274	5.93
275	5.61
276	5.36
277	5.67
278	5.64
279	5.06
280	5.98
281	5.66
282	5.63
283	6.49
284	5.97
285	5.52
286	6.5
287	5.69
288	4.98
289	5.46
290	5.35
291	5.47
292	5.58
293	6.01
294	5.11
295	5.83
296	6.53
297	5.18
298	5.64
299	5.59
300	4.95
301	6.3
302	5.29
