E	A
457	-7.19
458	-6.75
459	-6.83
460	-6.68
461	-6.81
462	-7.1
463	-6.93
464	-6.85
465	-6.74
466	-7.18
467	-7.24
468	-6.93
469	-6.77
470	-6.99
471	-7.35
472	-6.79
473	-7.2
474	-7.23
475	-7.19
476	-6.97
477	-6.87
478	-6.83
479	-7.18
480	-7.1
481	-6.83
482	-7.0
483	-7.45
484	-6.77
485	-7.19
486	-7.56
487	-6.85
488	-7.28
489	-6.87
490	-7.15
491	-6.87
492	-6.83
493	-7.09
494	-6.93
495	-6.94
496	-6.6
497	-6.66
498	-6.82
499	-7.51
500	-6.78
501	-7.19
502	-6.65
503	-7.27
504	-7.33
505	-6.82
506	-6.7
507	-7.16
508	-7.12
509	-6.79
510	-6.99
511	-7.35
512	-7.3
513	-7.02
514	-6.91
515	-6.51
516	-6.66
517	-7.02
518	-6.97
519	-7.15
520	-7.58
521	-6.79
522	-6.99
523	-6.88
524	-6.99
525	-6.91
526	-7.03
527	-7.05
528	-6.93
529	-7.25
530	-7.09
531	-7.09
532	-6.67
533	-7.22
534	-6.96
535	-7.07
536	-7.28
537	-7.06
538	-7.18
539	-7.38
540	-6.87
541	-6.85
542	-7.14
543	-7.46
544	-6.94
545	-6.84
546	-7.32
547	-7.07
548	-6.89
549	-7.26
550	-7.11
551	-6.8
552	-7.34
553	-7.1
554	-7.22
555	-6.55
556	-7.27
557	-6.42
558	-6.99
559	-7.17
560	-7.12
561	-7.21
562	-6.88
563	-7.25
564	-6.82
565	-7.02
566	-7.38
567	-6.89
568	-6.65
569	-6.82
570	-7.34
571	-7.12
572	-6.8
573	-6.64
574	-7.05
575	-7.12
576	-7.21
577	-7.42
578	-6.8
579	-6.51
580	-6.96
581	-7.09
582	-6.97
583	-7.12
584	-7.16
585	-7.19
586	-7.29
587	-7.35
588	-7.06
589	-7.03
590	-7.13
591	-7.32
592	-7.26
593	-6.68
594	-7.12
595	-6.93
596	-7.46
597	-7.58
598	-7.03
599	-7.08
600	-7.43
601	-7.76
602	-7.15
603	-7.18
604	-6.96
605	-7.36
606	-7.26
607	-7.02
608	-6.83
609	-7.59
610	-6.83
611	-6.76
612	-7.34
613	-7.67
614	-7.07
615	-7.76
616	-6.78
617	-6.96
618	-6.93
619	-7.04
620	-7.03
621	-7.17
622	-7.19
623	-6.88
624	-7.11
625	-6.76
626	-6.86
627	-6.62
628	-6.87
629	-7.08
630	-7.58
631	-7.31
632	-7.15
633	-6.94
634	-7.51
635	-7.03
636	-6.75
637	-6.84
638	-7.06
639	-7.0
640	-7.07
641	-7.3
642	-7.07
643	-6.8
644	-7.08
645	-6.65
646	-7.17
647	-7.06
648	-7.35
649	-6.71
650	-7.18
651	-6.57
652	-7.2
653	-7.15
654	-7.81
655	-7.63
656	-6.66
657	-7.05
658	-7.07
659	-6.88
660	-7.1
661	-6.78
662	-7.11
663	-7.08
664	-7.24
665	-7.13
666	-7.23
667	-7.49
668	-7.71
669	-7.72
670	-7.32
671	-6.82
672	-7.32
673	-7.11
674	-7.19
675	-7.08
676	-7.19
677	-7.26
678	-7.06
679	-7.25
680	-7.11
681	-7.67
682	-7.05
683	-7.32
684	-7.33
685	-7.35
686	-7.38
687	-7.42
688	-7.17
689	-7.07
690	-7.23
691	-7.17
692	-7.46
693	-7.49
694	-7.1
695	-7.32
696	-7.36
697	-7.27
698	-7.21
699	-7.67
700	-7.25
701	-6.94
702	-7.23
703	-7.53
704	-7.29
705	-7.41
706	-7.02
707	-7.43
708	-7.59
709	-7.29
710	-7.22
711	-7.07
712	-7.37
713	-7.6
714	-7.19
715	-7.14
716	-7.09
717	-7.35
718	-7.48
719	-7.24
720	-7.44
721	-7.1
722	-7.02
723	-7.5
724	-7.22
725	-7.66
726	-7.47
727	-7.42
728	-7.42
729	-7.31
730	-7.68
731	-7.85
732	-7.16
733	-6.56
734	-7.32
735	-6.85
736	-7.21
737	-7.01
738	-7.3
739	-7.21
740	-7.21
741	-7.1
742	-7.18
743	-7.83
744	-7.37
745	-7.26
746	-7.15
747	-7.12
748	-7.34
749	-7.59
750	-7.47
751	-7.33
752	-7.22
753	-7.55
754	-6.87
755	-7.6
756	-7.59
757	-6.95
758	-7.75
759	-7.07
760	-7.39
761	-6.95
762	-7.54
763	-7.43
764	-7.07
765	-7.95
766	-7.15
767	-7.27
768	-7.7
769	-7.04
770	-7.16
771	-7.84
772	-7.0
773	-7.68
774	-6.98
775	-7.05
776	-7.61
777	-7.4
778	-7.8
779	-7.72
780	-8.08
781	-7.69
782	-7.02
783	-7.88
784	-7.34
785	-7.58
786	-7.27
787	-7.41
788	-7.42
789	-7.49
790	-7.97
791	-7.87
792	-7.39
793	-7.52
794	-7.8
795	-7.53
796	-7.48
797	-7.82
798	-7.41
799	-8.09
800	-7.42
801	-7.36
802	-7.85
803	-8.01
804	-7.51
805	-7.94
806	-8.01
807	-7.56
808	-7.41
809	-8.46
810	-7.96
811	-8.21
812	-8.27
813	-8.02
814	-7.53
815	-8.02
816	-7.86
817	-7.69
818	-7.32
819	-7.5
820	-7.23
821	-7.62
822	-7.83
823	-7.86
824	-7.27
825	-8.15
826	-7.8
827	-7.99
828	-7.84
829	-7.91
830	-7.76
831	-8.43
832	-7.94
833	-7.88
834	-7.85
835	-8.42
836	-7.66
837	-7.7
838	-8.23
839	-7.99
840	-7.59
841	-8.14
842	-8.28
843	-7.95
844	-8.14
845	-8.41
846	-8.43
847	-7.55
848	-7.98
849	-7.79
850	-8.25
851	-8.39
852	-8.09
853	-8.52
854	-7.92
855	-7.59
856	-7.62
857	-8.02
858	-8.66
859	-8.73
860	-8.54
861	-8.58
862	-8.32
863	-8.13
864	-8.25
865	-8.63
866	-7.89
867	-7.93
868	-7.64
869	-8.25
870	-8.62
871	-7.98
872	-8.44
873	-8.9
874	-8.45
875	-8.52
876	-8.23
877	-8.32
878	-8.26
879	-8.22
880	-8.59
881	-8.9
882	-8.05
883	-8.61
884	-8.12
885	-8.8
886	-8.63
887	-8.64
888	-8.33
889	-9.0
890	-8.92
891	-8.36
892	-8.87
893	-8.82
894	-8.86
895	-8.7
896	-9.12
897	-8.38
898	-8.97
899	-8.41
900	-8.83
