E	V
1	0.10834556394745487
2	0.8733770364956239
3	0.37588145088554903
4	0.9895957794455876
5	0.6360291006691225
6	0.7947875307673025
7	0.4419874089063178
8	1.077256132158615
9	0.817740728221203
10	0.4544490709929194
11	1.05716598346002
12	0.3463591766751355
13	0.5507726817838399
14	0.9554720042594425
15	0.018478022999296684
16	0.42635917667513645
17	1.1839381208156792
18	0.49996742688290086
19	0.6273015002527771
20	0.5461547969954625
21	0.8216132848516162
22	0.40979784917317286
23	0.6863916948438216
24	0.668414644764459
25	0.3964806177537161
26	0.3862553164380076
27	1.0028317016101909
28	0.5332605538234594
29	0.15465125444895111
30	0.9377714914411457
31	1.1810068815118089
32	0.6874517259376143
33	-0.28876515052518137
34	0.7077949121588869
35	0.4471420121677405
36	0.7168491403248631
37	0.4127381383700399
38	0.8985297296610102
39	-0.10777106783385726
40	0.4814775828481639
41	0.7951884830050986
42	0.12063834603849433
43	0.5387153143040955
44	0.30525814238154014
45	1.0505378327418695
46	0.42359294326537444
47	0.684264779828823
48	-0.09158367657968425
49	0.7961177784633691
50	0.9244032314078048
51	0.09110672470485959
52	0.9315348889455297
53	1.0891548047401138
54	1.019839232451159
55	0.33146534236938807
56	0.3110417996748245
57	0.41167597974639447
58	0.572381080217323
59	0.023438117588974627
60	0.37507764050037906
61	0.8393369283374055
62	0.5619088605278004
63	0.48459719092929276
64	0.5278052148840935
65	0.7171625888551607
66	0.7823035042980337
67	-0.07590276341099322
68	1.2450468978642721
69	0.43850423062021493
70	0.6446884918363729
71	0.2594833232454188
72	0.8940506260755123
73	0.28809638681413086
74	0.8711502205012018
75	0.7973910273809572
76	0.4905740216200045
77	0.8438312229020557
78	0.82183607824429
79	0.653972698172562
80	0.7619486683942385
81	-0.07235849976305175
82	0.6926710573701413
83	0.4175634276382607
84	1.2420555180058686
85	0.4245525907603298
86	0.6928644166499636
87	0.7961721612167212
88	0.32857698328917984
89	0.4380553525919364
90	0.8755252564528306
91	0.07144967433209537
92	0.4970631570143835
93	-0.11790859386595276
94	1.210579143419082
95	0.6527736687882291
96	0.6753215910678851
97	0.3870758441607425
98	0.5999999999999988
99	0.5459687501495929
100	0.6707234166664553
101	0.2613811794829468
102	0.2890832323304382
103	0.7963468712372799
104	0.5100143266769703
105	0.6149625852244718
106	0.2935910447862269
107	0.7254663699159751
108	0.6152659663001332
109	0.7719546928334342
110	0.7220621927136595
111	1.2630366167797868
112	0.615922217108444
113	0.23365704155032319
114	0.9883455639474601
115	0.8097526121355152
116	0.3403557437305915
117	0.4657217443258075
118	0.9122707947342321
119	0.4589824154290225
120	0.1720744734798485
121	0.6248499390189379
122	0.37908549334183395
123	0.19286320640747512
124	-0.03577255031328086
125	0.4252890445228559
126	0.5342177911918276
127	0.9468981936184457
128	0.6322859890656627
129	-0.736546981909795
130	0.313993998913805
131	0.4331085659335656
132	0.15843484803873498
133	0.9022255443823708
134	0.47275477014702627
135	0.4879270494222858
136	0.7527458169472592
137	0.3233206459221307
138	0.2725459821295262
139	-0.05776212829248317
140	0.5749263771344859
141	1.008581949980782
142	-0.033920151417850875
143	1.1682092222562188
144	0.8552386280386695
145	-0.28421304238366574
146	0.41323853549679335
147	0.8251022317783576
148	-0.120000000000001
149	-0.10054941737808143
150	0.5341904071536248
151	1.0436298384427638
152	0.03361893104528413
153	0.25564859210675195
154	0.5991239829918116
155	0.03569714289005699
156	0.6204732214414097
157	0.886925113411821
158	-0.460379297942505
159	0.8836187626919445
160	0.5752471195209314
161	0.8514793440391077
162	0.7397512514770916
163	0.6195588473793663
164	0.974038590812254
165	1.3018882098643494
166	0.7684143479772816
167	0.7810315094183498
168	0.8513884432155487
169	-0.35319512565106415
170	0.6697928236080184
171	0.6716921188864564
172	0.38379948955237175
173	0.8483337095560759
174	-0.11068929456553622
175	1.3225260582032883
176	0.5266720430142504
177	-0.3663704598845463
178	0.5242083660973842
179	0.014564739239008695
180	0.7527753506222625
181	0.5516302276522316
182	1.1014676839804722
183	0.8751218728396557
184	0.5148594288600039
185	0.7256285357605812
186	-0.3361396894297224
187	1.1295042840983363
188	0.16264535102087052
189	0.891094756552961
190	0.24458215612163503
191	0.49519452813075837
192	1.0455949228511972
193	0.4133840726138347
194	-0.0997317938760034
195	1.064585161917841
196	0.9209479737742035
197	1.2684797686442977
198	0.2854424288736448
199	0.3801678690863337
200	0.19302248768083707
201	-0.1400205338376148
202	0.7280094339753811
203	0.6096556273714926
204	1.044883235165753
205	1.2004145300304585
206	0.4986939727737809
207	0.13673707346045827
208	0.7547778458214252
209	-0.07648316717645454
210	1.129459981118535
211	0.3357227809237662
212	0.27232499104206376
213	0.42112949443097225
214	0.7190522391292271
215	0.8605913045811193
216	0.9440478861809831
217	0.7348274817769798
218	0.285442428873643
219	0.548429750607176
220	0.05217482263060802
221	0.37256354062414854
222	0.5461631329147156
223	0.3934809547158178
224	1.1783294075680049
225	0.3156194411649116
226	0.6725565330202112
227	0.439874057413292
228	0.590009980049861
229	1.0345223718579497
230	0.5499317743328218
231	-0.009413428455173012
232	0.9530834942379065
233	0.5014539773182882
234	0.9478311968586626
235	1.282971389747158
236	0.839018958720942
237	0.2989325859883083
238	1.1930333169569014
239	0.42627103621057305
240	0.5452226349731859
241	1.621166855771166
242	0.62423025000151
243	0.7623476835915435
244	1.2697222315404986
245	1.045074468871717
246	0.9583244144674392
247	-0.20148916510525527
248	0.7331531572659165
249	1.140892112190631
250	0.3844533988365635
251	0.8929046309495128
252	0.2274568590529622
253	0.08819448819173115
254	0.8045549540250159
255	0.41415953582486864
256	0.3126922545735278
257	0.24137128705925104
258	0.9468402280642154
259	0.6245853243560067
260	0.6765592503826818
261	0.9624045410838713
262	0.3733582936873958
263	1.3842681441576339
264	1.345982652532308
265	1.2064130196811562
266	0.381866747027944
267	0.5546220764642991
268	0.7708483752236059
269	0.42572257821969206
270	0.7716575606280172
271	0.14938719606309991
272	1.1760902506189748
273	0.6196846958802578
274	0.9155109931320027
275	0.7440057542163085
276	0.20341198077643607
277	-0.2664214809934107
278	-0.044223781660956085
279	0.310642148668939
280	0.6546267736429972
281	1.1010088835357452
282	0.7256040127249106
283	1.390009803930992
284	1.432478650187968
285	0.7419669318850461
286	0.37709219406334693
287	0.3557802819906266
288	0.2471784314216965
289	0.7516669616519271
290	0.7318293665131872
291	0.43521102726241345
292	1.1029920705900018
293	0.6499720149984283
294	0.9605542538792013
295	0.7880658473161333
296	1.2037348920655493
297	1.4239914803078513
298	0.9506077152790882
299	1.0798004478737298
300	0.47702559810588685
301	-0.7021425292548846
302	1.3168526329872945
303	0.45863733246573535
304	0.6802489690856435
305	1.2559909706661285
306	-0.049520182641018096
307	0.5698134371648873
308	0.020469584392129647
309	0.3975253587969405
310	0.3274024134580724
311	0.8468810698907543
312	0.4877517684783941
313	0.07044547258598399
314	1.0473387734945865
315	0.48488334982683146
316	0.5700430294192378
317	0.049218813567941666
318	1.1555664975749753
319	1.1416206743733115
320	-0.28356150903541977
321	0.29197356204885416
322	0.37707486633397913
323	-0.06430538049614398
324	1.108281923701349
325	0.18994336595529226
326	0.9395069273294521
327	0.3942399621217554
328	0.19916037261203812
329	0.0989888597757087
330	-0.465922321250793
331	0.5884743116818472
332	1.9520917596027862
333	1.0074312101866179
334	0.8762824194633305
335	-0.0847001579896407
336	1.0822464594066012
337	1.5164540164150555
338	0.3237942854353033
339	0.8044032586267553
340	0.6565708689126826
341	0.12549561635555762
342	0.3809842038616864
343	0.49693973114749657
344	0.11343349449409512
345	0.29733516112399183
346	1.1111525074546122
347	1.0418641389800758
348	1.272039649789316
349	0.47797612308479565
350	0.41328821528894366
351	0.518766747714535
352	0.8701822181635146
