E	A
1	-13.043999999999997
2	-12.69999999999999
3	-11.499999999999995
4	-12.519999999999989
5	-13.069999999999995
6	-12.259999999999996
7	-13.771999999999993
8	-13.383999999999993
9	-12.193999999999994
10	-12.751999999999992
11	-12.33
12	-12.471999999999996
13	-13.35799999999999
14	-12.505999999999993
15	-13.167999999999997
16	-12.745999999999999
17	-12.265999999999998
18	-12.473999999999995
19	-12.521999999999998
20	-12.927999999999995
21	-11.971999999999998
22	-12.175999999999995
23	-13.20399999999999
24	-12.444
25	-12.437999999999994
26	-12.898
27	-13.161999999999995
28	-14.359999999999989
29	-12.637999999999991
30	-12.103999999999994
31	-12.869999999999989
32	-12.587999999999997
33	-12.549999999999988
34	-12.069999999999999
35	-12.313999999999997
36	-14.075999999999992
37	-12.523999999999996
38	-13.013999999999996
39	-13.73399999999999
40	-12.907999999999992
41	-13.77199999999999
42	-11.701999999999993
43	-12.558
44	-12.657999999999998
45	-12.797999999999988
46	-12.823999999999995
47	-13.621999999999998
48	-13.1
49	-13.401999999999996
50	-12.437999999999997
51	-13.785999999999994
52	-12.293999999999999
53	-12.673999999999996
54	-11.971999999999996
55	-13.081999999999999
56	-12.837999999999996
57	-11.903999999999991
58	-11.308000000000002
59	-13.593999999999996
60	-12.285999999999996
61	-13.36799999999999
62	-12.607999999999997
63	-12.503999999999994
64	-13.17799999999999
65	-13.691999999999993
66	-12.385999999999992
67	-12.295999999999998
68	-12.657999999999994
69	-12.88
70	-12.861999999999997
71	-12.956
72	-13.093999999999996
73	-13.059999999999995
74	-12.661999999999999
75	-13.043999999999993
76	-12.321999999999997
77	-11.90399999999999
78	-13.158
79	-12.845999999999998
80	-13.161999999999994
81	-12.885999999999992
82	-12.52399999999999
83	-11.569999999999999
84	-12.805999999999997
85	-12.755999999999993
86	-12.993999999999998
87	-12.734000000000002
88	-14.06399999999999
89	-12.861999999999991
90	-12.960000000000003
91	-11.874
92	-12.841999999999992
93	-11.38
94	-13.075999999999992
95	-13.673999999999994
96	-12.146000000000004
97	-11.561999999999996
98	-12.127999999999997
99	-13.527999999999993
100	-13.249999999999993
101	-9.73
102	-9.62
103	-9.49
104	-9.56
105	-9.92
106	-9.85
107	-9.75
108	-9.91
109	-9.66
110	-9.82
111	-9.86
112	-9.6
113	-9.76
114	-9.56
115	-9.86
116	-9.85
117	-9.75
118	-9.69
119	-9.72
120	-10.1
121	-9.68
122	-9.65
123	-9.66
124	-9.76
125	-9.73
126	-9.76
127	-9.73
128	-9.68
129	-9.76
130	-9.93
131	-9.63
132	-9.76
133	-9.72
134	-9.69
135	-9.74
136	-9.72
137	-9.6
138	-9.61
139	-9.93
140	-9.82
141	-9.67
142	-9.79
143	-9.75
144	-9.75
145	-9.78
146	-9.8
147	-9.57
148	-9.81
149	-9.86
150	-9.9
151	-9.65
152	-9.94
153	-9.61
154	-9.66
155	-9.6
156	-9.76
157	-9.84
158	-9.78
159	-9.78
160	-9.45
161	-9.57
162	-9.79
163	-9.79
164	-9.78
165	-9.53
166	-9.77
167	-9.88
168	-9.69
169	-9.82
170	-9.8
171	-9.78
172	-9.67
173	-9.75
174	-9.88
175	-9.78
176	-9.65
177	-9.99
178	-9.85
179	-9.73
180	-9.99
181	-9.84
182	-9.7
183	-9.62
184	-9.85
185	-9.61
186	-9.63
187	-9.89
188	-9.66
189	-9.92
190	-9.83
191	-9.62
192	-9.62
193	-9.92
194	-9.75
195	-9.61
196	-9.79
197	-9.91
198	-9.83
199	-9.96
200	-9.77
201	-9.89
202	-9.58
203	-9.6
204	-9.7
205	-9.64
206	-9.57
207	-9.8
208	-9.71
209	-9.61
210	-9.68
211	-9.74
212	-9.73
213	-9.7
214	-9.64
215	-9.81
216	-9.87
217	-9.64
218	-9.97
219	-9.65
220	-9.59
221	-9.94
222	-9.9
223	-9.46
224	-9.83
225	-9.68
226	-9.84
227	-9.66
228	-9.78
229	-9.82
230	-9.8
231	-9.67
232	-9.73
233	-9.57
234	-9.64
235	-9.74
236	-9.53
237	-9.77
238	-9.76
239	-9.66
240	-9.74
241	-9.73
242	-9.71
243	-9.87
244	-9.67
245	-9.83
246	-9.74
247	-9.95
248	-9.92
249	-9.77
250	-9.99
251	-9.82
252	-9.78
253	-9.76
254	-9.7
255	-9.76
256	-9.63
257	-9.55
258	-9.57
259	-9.67
260	-9.86
261	-9.82
262	-9.92
263	-9.76
264	-9.81
265	-9.55
266	-9.82
267	-9.65
268	-9.83
269	-9.51
270	-9.84
271	-9.66
272	-9.64
273	-9.87
274	-9.73
275	-9.83
276	-9.74
277	-9.8
278	-9.79
279	-9.65
280	-9.83
281	-9.6
282	-9.76
283	-9.99
284	-9.56
285	-9.85
286	-9.57
287	-9.86
288	-9.61
289	-9.58
290	-9.73
291	-9.78
292	-9.68
293	-9.79
294	-9.58
295	-9.79
296	-9.74
297	-9.64
298	-9.76
299	-9.92
300	-9.8
301	-9.66
302	-9.79
303	-9.67
304	-9.81
305	-9.64
306	-9.98
307	-9.57
308	-9.73
309	-9.61
310	-9.8
311	-9.65
312	-9.71
313	-9.72
314	-9.7
315	-9.8
316	-9.71
317	-9.72
318	-9.79
319	-9.67
320	-9.77
321	-9.63
322	-9.82
323	-9.75
324	-9.73
325	-9.7
326	-9.86
327	-9.75
328	-9.7
329	-9.89
330	-9.74
331	-9.77
332	-9.72
333	-9.6
334	-9.91
335	-9.7
336	-9.71
337	-9.59
338	-9.72
339	-9.76
340	-9.7
341	-9.54
342	-9.5
343	-9.65
344	-9.78
345	-9.95
346	-9.78
347	-9.75
348	-9.67
349	-9.78
350	-9.65
351	-9.79
352	-9.97
353	-9.92
354	-9.72
355	-9.6
356	-9.66
357	-9.44
358	-9.73
359	-9.83
360	-9.77
361	-9.69
362	-9.88
363	-9.67
364	-9.73
365	-9.7
366	-9.8
367	-9.84
368	-9.62
369	-9.82
370	-9.68
371	-10.12
372	-9.65
373	-9.65
374	-9.7
375	-9.47
376	-9.75
377	-9.44
378	-9.73
379	-9.8
380	-9.98
381	-9.61
382	-9.71
383	-9.7
384	-9.71
385	-9.84
386	-9.9
387	-9.75
388	-9.85
389	-9.89
390	-9.79
391	-9.7
392	-9.69
393	-9.76
394	-9.75
395	-9.57
396	-9.77
397	-9.86
398	-9.68
399	-9.65
400	-9.58
401	-9.78
402	-9.73
403	-9.91
404	-9.73
405	-9.74
406	-9.7
407	-9.59
408	-9.72
409	-9.7
410	-9.64
411	-9.68
412	-9.76
413	-9.81
414	-9.62
415	-9.72
416	-9.94
417	-9.68
418	-9.93
419	-9.58
420	-9.89
421	-9.73
422	-9.72
423	-9.7
424	-9.74
425	-9.91
426	-9.89
427	-9.65
428	-9.67
429	-9.74
430	-9.6
431	-9.72
432	-9.81
433	-9.76
434	-9.73
435	-9.71
436	-9.85
437	-9.75
438	-9.57
439	-9.53
440	-9.68
441	-9.92
442	-9.68
443	-9.59
444	-9.78
445	-9.8
446	-9.67
447	-9.73
448	-9.77
449	-9.69
450	-9.94
451	-9.81
452	-9.76
453	-9.83
454	-9.83
455	-9.73
456	-9.74
457	-9.63
458	-9.9
459	-9.74
460	-9.88
461	-9.69
462	-9.81
463	-9.69
464	-9.67
465	-9.73
466	-9.58
467	-9.72
468	-9.86
469	-9.86
470	-9.8
471	-9.84
472	-9.94
473	-9.7
474	-9.72
475	-9.85
476	-9.74
477	-10.01
478	-9.96
479	-9.92
480	-9.43
481	-9.74
482	-9.78
483	-9.81
484	-9.74
485	-9.76
486	-9.55
487	-9.67
488	-10.15
489	-9.73
490	-9.76
491	-9.8
492	-9.82
493	-9.73
494	-9.63
495	-9.46
496	-9.8
497	-9.94
498	-9.53
499	-9.64
500	-10.17
501	-9.79
502	-9.71
503	-9.71
504	-9.87
505	-9.65
506	-9.42
507	-9.83
508	-9.78
509	-9.84
510	-9.7
511	-9.67
512	-9.92
513	-9.54
514	-9.79
515	-9.63
516	-9.77
517	-9.86
518	-9.89
519	-9.64
520	-9.75
521	-9.61
522	-9.77
523	-9.64
524	-9.65
525	-9.58
526	-9.86
527	-9.8
528	-9.89
529	-9.78
530	-9.67
531	-9.65
532	-9.68
533	-9.74
534	-9.77
535	-9.7
536	-9.67
537	-9.74
538	-9.84
539	-9.49
540	-9.8
541	-9.73
542	-9.83
543	-9.68
544	-9.79
545	-9.87
546	-9.83
547	-9.63
548	-9.9
549	-9.69
550	-9.84
551	-9.69
552	-9.67
553	-9.7
554	-9.82
555	-9.85
556	-9.88
557	-10.01
558	-9.68
559	-9.82
560	-9.81
561	-9.81
562	-9.76
563	-9.66
564	-9.78
565	-9.88
566	-9.72
567	-9.61
568	-9.76
569	-9.82
570	-9.6
571	-9.65
572	-9.73
573	-9.82
574	-9.85
575	-9.82
576	-9.7
577	-9.71
578	-9.68
579	-9.81
580	-9.69
581	-9.69
582	-9.51
583	-9.69
584	-9.85
585	-9.78
586	-9.49
587	-9.89
588	-9.54
589	-9.82
590	-9.88
591	-9.86
592	-9.84
593	-9.64
594	-9.86
595	-9.78
596	-9.86
597	-9.73
598	-9.6
599	-9.48
600	-9.64
601	-9.85
602	-9.65
603	-9.77
604	-9.9
605	-9.74
606	-9.98
607	-9.72
608	-9.86
609	-9.94
610	-9.8
611	-9.83
612	-9.69
613	-9.74
614	-9.65
615	-9.92
616	-9.9
617	-9.78
618	-9.68
619	-9.73
620	-9.74
621	-9.72
622	-9.79
623	-9.79
624	-10.03
625	-9.57
626	-9.64
627	-9.76
628	-9.73
629	-9.66
630	-9.74
631	-9.61
632	-9.97
633	-9.8
634	-9.65
635	-9.72
636	-9.81
637	-9.86
638	-9.69
639	-9.65
640	-9.8
641	-9.83
642	-9.64
643	-9.71
644	-9.79
645	-9.95
646	-9.8
647	-10.01
648	-9.66
649	-9.81
650	-9.76
651	-9.87
652	-9.74
653	-9.57
654	-9.8
655	-9.73
656	-9.72
657	-9.63
658	-9.83
659	-9.72
660	-9.75
661	-9.61
662	-9.75
663	-9.79
664	-9.91
665	-9.82
666	-9.84
667	-9.62
668	-9.8
669	-9.71
670	-9.6
671	-9.98
672	-9.65
673	-9.58
674	-9.85
675	-9.78
676	-9.7
677	-9.76
678	-9.68
679	-9.88
680	-9.82
681	-9.79
682	-9.83
683	-9.77
684	-9.73
685	-9.8
686	-9.67
687	-9.68
688	-9.67
689	-9.89
690	-9.79
691	-9.73
692	-9.68
693	-9.64
694	-9.64
695	-9.83
696	-9.7
697	-9.67
698	-9.62
699	-9.62
700	-9.81
701	-10.03
702	-9.82
703	-9.86
704	-9.79
705	-9.94
706	-9.88
707	-9.76
708	-9.72
709	-9.88
710	-9.75
711	-9.72
712	-9.77
713	-9.81
714	-9.66
715	-9.78
716	-9.7
717	-9.84
718	-9.85
719	-9.71
720	-9.56
721	-9.53
722	-9.73
723	-9.64
724	-9.78
725	-9.59
726	-9.83
727	-9.75
728	-9.63
729	-9.54
730	-9.9
731	-9.7
732	-9.85
733	-9.76
734	-9.88
735	-9.69
736	-9.83
737	-9.78
738	-9.7
739	-9.91
740	-9.91
741	-9.66
742	-9.53
743	-9.8
744	-9.88
745	-9.69
746	-9.83
747	-9.78
748	-9.72
749	-9.65
750	-9.75
751	-9.82
752	-9.73
753	-9.72
754	-9.75
755	-9.81
756	-9.79
757	-9.73
758	-9.81
759	-10.13
760	-9.67
761	-9.59
762	-9.94
763	-10.0
764	-9.98
765	-9.58
766	-9.81
767	-9.72
768	-9.57
769	-9.75
770	-9.88
771	-9.71
772	-9.81
773	-9.81
774	-9.92
775	-9.72
776	-9.83
777	-9.81
778	-9.74
779	-9.92
780	-9.85
781	-9.74
782	-9.63
783	-9.61
784	-9.74
785	-9.84
786	-9.81
787	-9.7
788	-9.72
789	-9.58
790	-9.54
791	-9.86
