E	V
1	-19.469111983459886
2	-19.0822566541937
3	-16.894849395488244
4	-18.706695402232096
5	-19.50548754951789
6	-17.616902089827654
7	-20.234446595524002
8	-20.330577862516172
9	-18.061568832148442
10	-18.43454309266545
11	-18.789744576993726
12	-18.181116919454347
13	-20.45477645131927
14	-18.561110568767493
15	-19.28562829861376
16	-18.773261733158755
17	-18.572381212708272
18	-18.193626211563117
19	-18.556560133099996
20	-19.29733403112129
21	-17.887810679864586
22	-17.77944751023866
23	-19.72700421585022
24	-18.483574819471972
25	-18.185047589849926
26	-18.452493316226054
27	-19.570912232196648
28	-21.553274636770073
29	-18.730270184422206
30	-18.05845916939564
31	-19.077310206522608
32	-18.42990516869282
33	-18.406714095804894
34	-18.008105758573173
35	-18.123595855134838
36	-21.23168473313349
37	-18.70447117944901
38	-19.415203324375803
39	-20.568503932254316
40	-19.04929758275886
41	-21.137922617024948
42	-17.123180314285797
43	-18.156806658565728
44	-18.36191409472477
45	-18.711069930247714
46	-18.614977810352915
47	-20.17955411719948
48	-19.18798817344448
49	-19.734676843168284
50	-18.398717742017304
51	-20.74480765648827
52	-17.84222169708456
53	-18.48589504378734
54	-18.193383768905427
55	-18.957923416791598
56	-18.76014116684159
57	-17.220425867065188
58	-16.217535212217136
59	-19.59022914838983
60	-18.220054600355464
61	-19.216673011889085
62	-18.53582725794197
63	-18.677522819266144
64	-19.64235735398344
65	-19.950716801389866
66	-18.273087904898297
67	-18.08014937566449
68	-19.03434973946692
69	-18.917681674285248
70	-19.073839985060776
71	-19.279579998703255
72	-19.37816772532368
73	-19.283600244231614
74	-18.828664900900634
75	-19.194094633418235
76	-18.397122714809953
77	-17.105728943341802
78	-19.938164894749967
79	-18.774227728419334
80	-19.85633760726181
81	-19.508099667024027
82	-18.977016658896808
83	-16.3666133886316
84	-18.656022564059036
85	-19.05314729063882
86	-19.04805351809842
87	-18.66156644838334
88	-20.88789214451692
89	-19.1652496380835
90	-20.06408333284456
91	-16.696335948479735
92	-19.240893341820893
93	-16.32137632649042
94	-19.316498698020837
95	-20.24074378973322
96	-17.494110320477688
97	-16.961532942764574
98	-17.89816602880713
99	-20.00908139124944
100	-19.56312125655763
101	-10.85120470923021
102	-10.722542516187016
103	-10.651851969916994
104	-10.811559027772962
