E	A
533	91.19
534	91.12
535	91.21
536	91.19
537	91.29
538	91.32
539	91.14
540	91.09
541	91.05
542	91.15
543	91.23
544	91.27
545	91.09
546	91.19
547	91.29
548	91.18
549	91.07
550	91.19
551	91.13
552	91.13
553	91.11
554	91.15
555	91.25
556	91.24
557	91.21
558	91.19
559	91.3
560	91.09
561	91.14
562	91.17
563	91.23
564	91.13
565	91.1
566	91.23
567	91.19
568	91.23
569	91.12
570	91.1
571	91.11
572	91.21
573	91.25
574	91.09
575	91.14
576	91.24
577	91.16
578	91.33
579	91.22
580	91.17
581	91.18
582	91.14
583	91.11
584	91.19
585	91.25
586	91.24
587	91.24
588	91.12
589	91.12
590	91.25
591	91.18
592	91.16
593	91.13
594	91.13
595	91.16
596	91.16
597	91.26
598	91.1
599	91.05
600	91.29
601	91.1
602	91.15
603	91.01
604	91.17
605	91.06
606	91.27
607	91.1
608	91.11
609	91.13
610	91.23
611	91.21
612	91.14
613	91.2
614	91.21
615	91.2
616	91.18
617	91.1
618	91.21
619	91.26
620	91.21
621	91.29
622	91.18
623	91.13
624	91.25
625	91.11
626	91.2
627	91.4
628	91.2
629	91.27
630	91.21
631	91.15
632	91.13
633	91.26
634	91.19
635	91.18
636	91.08
637	91.11
638	91.16
639	91.23
640	91.31
641	91.17
642	91.21
643	91.17
644	91.02
645	91.07
646	91.11
647	91.13
648	91.21
649	91.17
650	91.19
651	91.13
652	91.11
653	91.07
654	91.11
655	91.14
656	91.17
657	91.22
658	91.18
659	91.28
660	91.15
661	91.22
662	91.13
663	91.08
664	91.2
665	91.26
666	90.97
667	91.11
668	91.27
669	91.31
670	91.06
671	91.14
672	91.17
673	91.14
674	91.16
675	91.15
676	91.18
677	91.15
678	91.21
679	91.24
680	91.2
681	91.04
682	91.12
683	91.18
684	91.17
685	91.14
686	90.99
687	91.16
688	91.19
689	91.16
690	91.2
691	91.08
692	91.24
693	91.21
694	91.13
695	91.16
696	91.35
697	91.1
698	91.2
699	91.19
700	91.29
701	91.29
702	91.14
703	91.31
704	91.2
705	91.14
706	91.09
707	91.1
708	91.34
709	91.27
710	91.0
711	91.2
712	91.18
713	91.1
714	91.12
715	91.2
716	91.27
717	91.13
718	91.33
719	91.21
720	91.17
721	91.13
722	91.26
723	91.27
724	91.15
725	91.2
726	91.18
727	91.16
728	91.16
729	91.29
730	91.14
731	91.16
732	91.27
733	91.32
734	91.13
