E	A
400	-8.71
401	-8.62
402	-8.63
403	-8.72
404	-8.71
405	-8.69
406	-8.73
407	-8.66
408	-8.77
409	-8.78
410	-8.78
411	-8.73
412	-8.79
413	-8.71
414	-8.64
415	-8.67
416	-8.74
417	-8.58
418	-8.63
419	-8.75
420	-8.63
421	-8.78
422	-8.63
423	-8.68
424	-8.79
425	-8.66
426	-8.59
427	-8.67
428	-8.68
429	-8.8
430	-8.73
431	-8.78
432	-8.79
433	-8.68
434	-8.77
435	-8.75
436	-8.63
437	-8.77
438	-8.84
439	-8.67
440	-8.72
441	-8.77
442	-8.77
443	-8.68
444	-8.62
445	-8.75
446	-8.71
447	-8.73
448	-8.69
449	-8.85
450	-8.72
451	-8.69
452	-8.82
453	-8.7
454	-8.67
455	-8.73
456	-8.71
457	-8.8
458	-8.63
459	-8.78
460	-8.74
461	-8.64
462	-8.6
463	-8.7
464	-8.62
465	-8.62
466	-8.66
467	-8.63
468	-8.68
469	-8.77
470	-8.67
471	-8.79
472	-8.77
473	-8.78
474	-8.66
475	-8.61
476	-8.74
477	-8.64
478	-8.73
479	-8.7
480	-8.78
481	-8.69
482	-8.74
483	-8.75
484	-8.75
485	-8.65
486	-8.6
487	-8.54
488	-8.64
489	-8.64
490	-8.68
491	-8.73
492	-8.8
493	-8.65
494	-8.8
495	-8.81
496	-8.71
497	-8.75
498	-8.65
499	-8.66
500	-8.79
501	-8.61
502	-8.73
503	-8.85
504	-8.72
505	-8.69
506	-8.62
507	-8.69
508	-8.74
509	-8.61
510	-8.71
511	-8.74
512	-8.63
513	-8.69
514	-8.72
515	-8.53
516	-8.69
517	-8.63
518	-8.73
519	-8.73
520	-8.68
521	-8.55
522	-8.6
523	-8.77
524	-8.75
525	-8.67
526	-8.63
527	-8.73
528	-8.69
529	-8.73
530	-8.73
531	-8.65
532	-8.77
533	-8.78
534	-8.71
535	-8.72
536	-8.74
537	-8.8
538	-8.52
539	-8.59
540	-8.67
541	-8.86
542	-8.71
543	-8.67
544	-8.68
545	-8.79
546	-8.8
547	-8.79
548	-8.72
549	-8.78
550	-8.72
551	-8.7
552	-8.73
553	-8.65
554	-8.69
555	-8.75
556	-8.8
557	-8.65
558	-8.85
559	-8.82
560	-8.75
561	-8.74
562	-8.62
563	-8.67
564	-8.79
565	-8.86
566	-8.63
567	-8.77
568	-8.74
569	-8.63
570	-8.68
571	-8.65
572	-8.73
573	-8.65
574	-8.7
575	-8.69
576	-8.79
577	-8.69
578	-8.69
579	-8.74
580	-8.69
581	-8.81
582	-8.58
583	-8.68
584	-8.75
585	-8.66
586	-8.72
587	-8.75
588	-8.72
589	-8.9
590	-8.61
591	-8.74
592	-8.92
593	-8.63
594	-8.75
595	-8.73
596	-8.78
597	-8.6
598	-8.74
599	-8.74
600	-8.64
601	-8.82
602	-8.75
603	-8.76
604	-8.79
605	-8.77
606	-8.7
607	-8.63
608	-8.65
609	-8.65
610	-8.64
611	-8.76
612	-8.74
613	-8.75
614	-8.84
615	-8.72
616	-8.61
617	-8.72
618	-8.79
619	-8.7
620	-8.75
621	-8.71
622	-8.67
623	-8.87
624	-8.69
625	-8.7
626	-8.62
627	-8.63
628	-8.61
629	-8.59
630	-8.6
631	-8.63
632	-8.78
633	-8.73
634	-8.82
635	-8.72
636	-8.68
637	-8.69
638	-8.71
639	-8.66
640	-8.66
641	-8.67
642	-8.68
643	-8.65
644	-8.78
645	-8.69
646	-8.63
647	-8.64
648	-8.71
649	-8.63
650	-8.73
651	-8.64
652	-8.68
653	-8.8
654	-8.69
655	-8.76
656	-8.64
657	-8.77
658	-8.67
659	-8.72
660	-8.69
